1,박빈진,1,1,1
2,박소여,1,1,2
3,최소소,1,1,3
4,정경수,1,1,4
5,최여소,1,1,5
6,최래진,1,1,6
7,김여래,1,1,7
8,최래진,1,1,8
9,김소명,1,1,9
10,박수소,1,1,10
11,최재재,1,2,1
12,김수진,1,2,2
13,최수여,1,2,3
14,박빈수,1,2,4
15,박소수,1,2,5
16,이경수,1,2,6
17,이여석,1,2,7
18,최명빈,1,2,8
19,최래래,1,2,9
20,박빈여,1,2,10
21,박재석,1,3,1
22,김래수,1,3,2
23,최빈명,1,3,3
24,최명진,1,3,4
25,김빈래,1,3,5
26,최경래,1,3,6
27,김재래,1,3,7
28,최명재,1,3,8
29,이명수,1,3,9
30,이수여,1,3,10
31,박래수,1,4,1
32,박명명,1,4,2
33,최석경,1,4,3
34,이빈석,1,4,4
35,박석소,1,4,5
36,정석명,1,4,6
37,이소경,1,4,7
38,박경빈,1,4,8
39,정진빈,1,4,9
40,최래진,1,4,10
41,김수수,1,5,1
42,김소진,1,5,2
43,김소진,1,5,3
44,김수래,1,5,4
45,이빈여,1,5,5
46,정수소,1,5,6
47,정재진,1,5,7
48,최명진,1,5,8
49,김명여,1,5,9
50,이재여,1,5,10
51,박래수,2,1,1
52,이경재,2,1,2
53,최재여,2,1,3
54,김수석,2,1,4
55,최소진,2,1,5
56,최경소,2,1,6
57,최진빈,2,1,7
58,정여재,2,1,8
59,박석경,2,1,9
60,정석재,2,1,10
61,정래진,2,2,1
62,이소재,2,2,2
63,최명빈,2,2,3
64,박소래,2,2,4
65,최석소,2,2,5
66,이빈여,2,2,6
67,최석여,2,2,7
68,김빈소,2,2,8
69,박빈명,2,2,9
70,김명재,2,2,10
71,박석빈,2,3,1
72,이경진,2,3,2
73,이빈진,2,3,3
74,정소진,2,3,4
75,최소재,2,3,5
76,김수수,2,3,6
77,최명수,2,3,7
78,최수소,2,3,8
79,이수빈,2,3,9
80,김명빈,2,3,10
81,정경여,2,4,1
82,정여석,2,4,2
83,김진재,2,4,3
84,최소명,2,4,4
85,김진명,2,4,5
86,정경명,2,4,6
87,정경경,2,4,7
88,이소석,2,4,8
89,정여경,2,4,9
90,김빈재,2,4,10
91,박소래,2,5,1
92,최소빈,2,5,2
93,최명경,2,5,3
94,정석수,2,5,4
95,이빈경,2,5,5
96,이석래,2,5,6
97,최소명,2,5,7
98,김명경,2,5,8
99,최명빈,2,5,9
100,이석빈,2,5,10
101,김래재,3,1,1
102,정여수,3,1,2
103,이여진,3,1,3
104,정명진,3,1,4
105,이수석,3,1,5
106,박진경,3,1,6
107,이재빈,3,1,7
108,정진경,3,1,8
109,박명석,3,1,9
110,이석진,3,1,10
111,정석재,3,2,1
112,김석재,3,2,2
113,최소래,3,2,3
114,박여여,3,2,4
115,박수래,3,2,5
116,정명석,3,2,6
117,정빈여,3,2,7
118,김소래,3,2,8
119,박경여,3,2,9
120,김명명,3,2,10
121,박석래,3,3,1
122,최진명,3,3,2
123,김소여,3,3,3
124,김진진,3,3,4
125,박여재,3,3,5
126,김명재,3,3,6
127,이소빈,3,3,7
128,정소석,3,3,8
129,김재래,3,3,9
130,박명여,3,3,10
131,김소여,3,4,1
132,정재래,3,4,2
133,김래수,3,4,3
134,최소경,3,4,4
135,정명명,3,4,5
136,박진빈,3,4,6
137,최여빈,3,4,7
138,박명석,3,4,8
139,정여석,3,4,9
140,박수여,3,4,10
141,이경여,3,5,1
142,최빈래,3,5,2
143,박소진,3,5,3
144,박여여,3,5,4
145,최진명,3,5,5
146,정재수,3,5,6
147,김경수,3,5,7
148,박석진,3,5,8
149,김진명,3,5,9
150,정수재,3,5,10
151,홍길,1,1,11
